"", "Mobile line" , "Brazil" ,  55288 , "0.1"
"", "Mobile line" , "Brazil" ,  55289 , "0.1"
"", "Mobile line" , "Brazil" ,  55297 , "0.1"
"", "Mobile line" , "Brazil" ,  55298 , "0.1"
"", "Mobile line" , "Brazil" ,  55299 , "0.1"
"", "Mobile line" , "Brazil" ,  55317 , "0.1"
"", "Mobile line" , "Brazil" ,  55318 , "0.1"
"", "Mobile line" , "Brazil" ,  55319 , "0.1"
"", "Mobile line" , "Brazil" ,  55327 , "0.1"
"", "Mobile line" , "Brazil" ,  55328 , "0.1"
"", "Mobile line" , "Brazil" ,  55329 , "0.1"
"", "Mobile line" , "Brazil" ,  55337 , "0.1"
"", "Mobile line" , "Brazil" ,  55338 , "0.1"
"", "Mobile line" , "Brazil" ,  55339 , "0.1"
"", "Mobile line" , "Brazil" ,  55347 , "0.1"
"", "Mobile line" , "Brazil" ,  55348 , "0.1"
"", "Mobile line" , "Brazil" ,  55349 , "0.1"
"", "Mobile line" , "Brazil" ,  55357 , "0.1"
"", "Mobile line" , "Brazil" ,  55358 , "0.1"
"", "Mobile line" , "Brazil" ,  55359 , "0.1"
"", "Mobile line" , "Brazil" ,  55367 , "0.1"
"", "Mobile line" , "Brazil" ,  55368 , "0.1"
"", "Mobile line" , "Brazil" ,  55369 , "0.1"
"", "Mobile line" , "Brazil" ,  55377 , "0.1"
"", "Mobile line" , "Brazil" ,  55378 , "0.1"
"", "Mobile line" , "Brazil" ,  55379 , "0.1"
"", "Mobile line" , "Brazil" ,  55387 , "0.1"
"", "Mobile line" , "Brazil" ,  55388 , "0.1"
"", "Mobile line" , "Brazil" ,  55389 , "0.1"
"", "Mobile line" , "Brazil" ,  55397 , "0.1"
"", "Mobile line" , "Brazil" ,  55398 , "0.1"
"", "Mobile line" , "Brazil" ,  55399 , "0.1"
"", "Mobile line" , "Brazil" ,  55417 , "0.1"
"", "Mobile line" , "Brazil" ,  55418 , "0.1"
"", "Mobile line" , "Brazil" ,  55419 , "0.1"
"", "Mobile line" , "Brazil" ,  55427 , "0.1"
"", "Mobile line" , "Brazil" ,  55428 , "0.1"
"", "Mobile line" , "Brazil" ,  55429 , "0.1"
"", "Mobile line" , "Brazil" ,  55437 , "0.1"
"", "Mobile line" , "Brazil" ,  55438 , "0.1"
"", "Mobile line" , "Brazil" ,  55439 , "0.1"
"", "Mobile line" , "Brazil" ,  55447 , "0.1"
"", "Mobile line" , "Brazil" ,  55448 , "0.1"
"", "Mobile line" , "Brazil" ,  55449 , "0.1"
"", "Mobile line" , "Brazil" ,  55457 , "0.1"
"", "Mobile line" , "Brazil" ,  55458 , "0.1"
"", "Mobile line" , "Brazil" ,  55459 , "0.1"
"", "Mobile line" , "Brazil" ,  55467 , "0.1"
"", "Mobile line" , "Brazil" ,  55468 , "0.1"
"", "Mobile line" , "Brazil" ,  55469 , "0.1"
"", "Mobile line" , "Brazil" ,  55477 , "0.1"
"", "Mobile line" , "Brazil" ,  55478 , "0.1"
"", "Mobile line" , "Brazil" ,  55479 , "0.1"
"", "Mobile line" , "Brazil" ,  55487 , "0.1"
"", "Mobile line" , "Brazil" ,  55488 , "0.1"
"", "Mobile line" , "Brazil" ,  55489 , "0.1"
"", "Mobile line" , "Brazil" ,  55497 , "0.1"
"", "Mobile line" , "Brazil" ,  55498 , "0.1"
"", "Mobile line" , "Brazil" ,  55499 , "0.1"
"", "Mobile line" , "Brazil" ,  55517 , "0.1"
"", "Mobile line" , "Brazil" ,  55518 , "0.1"
"", "Mobile line" , "Brazil" ,  55519 , "0.1"
"", "Mobile line" , "Brazil" ,  55527 , "0.1"
"", "Mobile line" , "Brazil" ,  55528 , "0.1"
"", "Mobile line" , "Brazil" ,  55529 , "0.1"
"", "Mobile line" , "Brazil" ,  55537 , "0.1"
"", "Mobile line" , "Brazil" ,  55538 , "0.1"
"", "Mobile line" , "Brazil" ,  55539 , "0.1"
"", "Mobile line" , "Brazil" ,  55547 , "0.1"
"", "Mobile line" , "Brazil" ,  55548 , "0.1"
"", "Mobile line" , "Brazil" ,  55549 , "0.1"
"", "Mobile line" , "Brazil" ,  55557 , "0.1"
"", "Mobile line" , "Brazil" ,  55558 , "0.1"
"", "Mobile line" , "Brazil" ,  55559 , "0.1"
"", "Mobile line" , "Brazil" ,  55567 , "0.1"
